data,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS2M,ano,mes,dia_semana,trimestre,amplitude,dia_chuvoso,T2M_mm30
2019-01-26,22.28,26.17,18.4,0.0,80.7,3.12,2019,1,5,1,7.770000000000003,0,24.817999999999998
2019-01-27,24.97,28.32,21.62,0.0,85.1,4.65,2019,1,6,1,6.699999999999999,0,24.844666666666665
2019-01-28,25.03,29.48,20.58,0.0,82.9,5.53,2019,1,0,1,8.900000000000002,0,24.896
2019-01-29,25.03,27.54,22.51,14.59,86.2,7.04,2019,1,1,1,5.029999999999998,1,24.912
2019-01-30,22.75,26.06,19.43,0.0,85.1,5.87,2019,1,2,1,6.629999999999999,0,24.872333333333334
2019-01-31,25.24,29.16,21.32,7.26,78.9,3.35,2019,1,3,1,7.84,1,24.91766666666667
2019-02-01,25.41,29.49,21.34,0.0,92.9,3.69,2019,2,4,1,8.149999999999999,0,25.045666666666666
2019-02-02,25.93,29.13,22.72,11.28,81.5,5.23,2019,2,5,1,6.41,1,24.845666666666666
2019-02-03,23.28,27.9,18.65,0.0,75.9,3.94,2019,2,6,1,9.25,0,24.779666666666667
2019-02-04,22.56,26.8,18.32,0.0,82.9,2.24,2019,2,0,1,8.48,0,24.735
2019-02-05,24.9,29.6,20.21,0.0,77.4,6.24,2019,2,1,1,9.39,0,24.71833333333333
2019-02-06,26.7,29.93,23.46,0.0,83.2,4.03,2019,2,2,1,6.469999999999999,0,24.70133333333333
2019-02-07,25.73,30.22,21.23,0.0,97.4,5.84,2019,2,3,1,8.989999999999998,0,24.62666666666667
2019-02-08,25.97,29.32,22.63,0.0,82.7,2.18,2019,2,4,1,6.690000000000001,0,24.55933333333333
2019-02-09,28.97,32.18,25.75,0.0,74.5,2.69,2019,2,5,1,6.43,0,24.628666666666668
2019-02-10,26.76,30.57,22.95,0.0,84.2,1.76,2019,2,6,1,7.620000000000001,0,24.718333333333337
2019-02-11,24.88,28.73,21.03,0.0,79.4,1.27,2019,2,0,1,7.699999999999999,0,24.851000000000003
2019-02-12,25.14,28.31,21.96,0.0,78.9,8.29,2019,2,1,1,6.349999999999998,0,24.86466666666667
2019-02-13,23.95,27.82,20.07,0.0,79.4,1.77,2019,2,2,1,7.75,0,24.982666666666667
2019-02-14,26.45,30.8,22.11,0.0,76.7,9.04,2019,2,3,1,8.690000000000001,0,24.97433333333333
2019-02-15,27.08,29.62,24.54,13.04,81.1,9.16,2019,2,4,1,5.080000000000002,1,24.997333333333334
2019-02-16,18.97,21.9,16.03,0.0,77.9,8.18,2019,2,5,1,5.869999999999997,0,24.915666666666663
2019-02-17,22.23,24.84,19.61,0.0,82.2,11.36,2019,2,6,1,5.23,0,24.81566666666667
2019-02-18,23.03,25.71,20.36,0.0,83.8,3.64,2019,2,0,1,5.350000000000001,0,24.73166666666667
2019-02-19,24.11,28.05,20.17,0.0,79.5,10.22,2019,2,1,1,7.879999999999999,0,24.696
2019-02-20,24.53,29.43,19.62,0.0,84.4,4.08,2019,2,2,1,9.809999999999999,0,24.747333333333334
2019-02-21,23.68,26.98,20.38,0.0,79.5,2.87,2019,2,3,1,6.600000000000001,0,24.737333333333332
2019-02-22,26.42,30.76,22.08,0.0,83.2,2.21,2019,2,4,1,8.680000000000003,0,24.768666666666665
2019-02-23,23.79,28.31,19.27,0.0,74.8,1.8,2019,2,5,1,9.04,0,24.66933333333333
2019-02-24,25.78,30.43,21.14,0.0,81.2,5.46,2019,2,6,1,9.29,0,24.53966666666667
2019-02-25,26.26,31.02,21.51,0.0,79.9,5.83,2019,2,0,1,9.509999999999998,0,24.474
2019-02-26,25.38,30.26,20.51,0.0,81.5,2.23,2019,2,1,1,9.75,0,24.365000000000002
2019-02-27,28.57,31.89,25.24,0.0,85.1,5.03,2019,2,2,1,6.650000000000002,0,24.328333333333333
2019-02-28,24.78,27.42,22.13,0.0,78.4,5.9,2019,2,3,1,5.290000000000003,0,24.287666666666667
2019-03-01,23.44,26.23,20.64,28.68,87.4,4.01,2019,3,4,1,5.59,1,24.355999999999998
2019-03-02,22.79,27.34,18.23,0.0,86.6,2.68,2019,3,5,1,9.11,0,24.387999999999998
2019-03-03,22.41,26.85,17.96,0.0,81.1,5.56,2019,3,6,1,8.89,0,24.357333333333333
2019-03-04,23.41,27.14,19.68,10.31,81.8,4.18,2019,3,0,1,7.460000000000001,1,24.558
2019-03-05,22.21,26.17,18.25,0.0,76.2,2.2,2019,3,1,1,7.920000000000002,0,24.504666666666665
2019-03-06,24.1,26.79,21.42,0.0,82.1,3.55,2019,3,2,1,5.369999999999997,0,24.521666666666665
2019-03-07,24.6,28.84,20.36,0.0,86.8,8.92,2019,3,3,1,8.48,0,24.565333333333335
2019-03-08,27.64,30.84,24.45,0.0,78.8,1.23,2019,3,4,1,6.390000000000001,0,24.531333333333336
2019-03-09,22.75,25.45,20.06,0.0,74.3,4.27,2019,3,5,1,5.390000000000001,0,24.534
2019-03-10,22.08,26.86,17.31,0.0,84.0,1.72,2019,3,6,1,9.55,0,24.41166666666667
2019-03-11,27.0,31.66,22.33,17.41,80.9,7.15,2019,3,0,1,9.330000000000002,1,24.490666666666666
2019-03-12,23.49,27.03,19.96,0.0,87.0,3.51,2019,3,1,1,7.07,0,24.488666666666667
2019-03-13,23.78,28.65,18.92,0.0,80.7,1.51,2019,3,2,1,9.729999999999997,0,24.364666666666665
2019-03-14,23.92,26.99,20.84,0.0,84.1,1.55,2019,3,3,1,6.149999999999999,0,24.361666666666665
2019-03-15,26.0,30.18,21.82,0.0,82.5,7.87,2019,3,4,1,8.36,0,24.188
2019-03-16,27.41,32.1,22.72,0.0,89.0,4.97,2019,3,5,1,9.380000000000003,0,24.068
2019-03-17,26.16,29.2,23.13,3.12,87.8,3.01,2019,3,6,1,6.07,1,24.079666666666665
2019-03-18,24.99,29.45,20.53,0.0,85.9,4.2,2019,3,0,1,8.919999999999998,0,23.972333333333335
2019-03-19,20.63,24.28,16.99,0.0,81.8,1.25,2019,3,1,1,7.290000000000003,0,23.938
2019-03-20,23.54,26.64,20.44,6.76,84.0,3.38,2019,3,2,1,6.199999999999999,1,23.898666666666667
2019-03-21,25.42,28.35,22.49,0.0,78.7,2.57,2019,3,3,1,5.860000000000003,0,23.90333333333333
2019-03-22,23.51,26.52,20.49,0.0,77.9,9.56,2019,3,4,1,6.030000000000001,0,23.80966666666667
2019-03-23,23.76,28.26,19.26,0.0,85.4,2.48,2019,3,5,1,9.0,0,23.782666666666668
2019-03-24,22.75,26.17,19.32,0.0,79.7,1.56,2019,3,6,1,6.850000000000001,0,23.573333333333334
2019-03-25,26.16,30.53,21.79,33.48,78.0,15.46,2019,3,0,1,8.740000000000002,1,23.497000000000003
2019-03-26,25.72,29.33,22.1,0.0,78.8,2.13,2019,3,1,1,7.229999999999997,0,23.52
2019-03-27,22.54,25.34,19.74,0.0,77.7,8.4,2019,3,2,1,5.600000000000001,0,23.266333333333332
2019-03-28,25.29,29.03,21.54,77.41,86.1,1.98,2019,3,3,1,7.490000000000002,1,23.239666666666665
2019-03-29,23.36,26.77,19.95,0.0,74.3,5.8,2019,3,4,1,6.82,0,23.22233333333333
2019-03-30,21.18,23.94,18.43,27.71,80.5,2.78,2019,3,5,1,5.510000000000002,1,23.104
2019-03-31,23.79,27.31,20.26,0.0,78.7,3.07,2019,3,6,1,7.049999999999997,0,22.915333333333333
2019-04-01,19.57,24.23,14.9,0.0,77.1,2.6,2019,4,0,2,9.33,0,22.753666666666668
2019-04-02,21.38,25.31,17.45,0.0,83.0,2.42,2019,4,1,2,7.859999999999999,0,22.701
2019-04-03,22.23,25.79,18.66,0.0,78.2,2.95,2019,4,2,2,7.129999999999999,0,22.613999999999997
2019-04-04,22.35,25.24,19.46,0.0,73.4,2.44,2019,4,3,2,5.779999999999998,0,22.640666666666668
2019-04-05,21.29,24.12,18.45,5.35,83.0,4.67,2019,4,4,2,5.670000000000002,1,22.515333333333334
2019-04-06,23.79,27.32,20.27,0.0,80.7,3.68,2019,4,5,2,7.050000000000001,0,22.343999999999998
2019-04-07,21.36,25.29,17.42,0.0,79.4,4.21,2019,4,6,2,7.869999999999997,0,22.25766666666667
2019-04-08,20.46,23.37,17.55,0.0,82.2,6.09,2019,4,0,2,5.82,0,22.09466666666667
2019-04-09,22.77,26.25,19.29,0.0,78.7,1.27,2019,4,1,2,6.960000000000001,0,21.88133333333333
2019-04-10,19.39,22.64,16.13,0.0,73.7,3.53,2019,4,2,2,6.510000000000002,0,21.783666666666665
2019-04-11,22.69,27.46,17.93,0.0,71.2,1.59,2019,4,3,2,9.530000000000001,0,21.787333333333333
2019-04-12,23.26,27.74,18.77,0.0,83.9,3.66,2019,4,4,2,8.969999999999999,0,21.733999999999998
2019-04-13,20.37,23.49,17.25,0.0,76.6,3.64,2019,4,5,2,6.239999999999998,0,21.688000000000002
2019-04-14,20.34,25.03,15.65,0.0,85.1,2.73,2019,4,6,2,9.38,0,21.53166666666667
2019-04-15,22.56,26.86,18.26,0.0,76.3,4.39,2019,4,0,2,8.599999999999998,0,21.608666666666668
2019-04-16,24.58,27.94,21.21,0.0,80.7,5.49,2019,4,1,2,6.73,0,21.449
2019-04-17,22.38,25.26,19.49,0.0,79.8,11.86,2019,4,2,2,5.770000000000003,0,21.439999999999998
2019-04-18,21.43,26.11,16.75,0.0,87.1,4.83,2019,4,3,2,9.36,0,21.363666666666667
2019-04-19,19.78,23.72,15.84,0.0,81.9,8.03,2019,4,4,2,7.879999999999999,0,21.30233333333333
2019-04-20,20.28,25.09,15.47,0.0,90.2,4.66,2019,4,5,2,9.62,0,21.049
2019-04-21,20.92,25.42,16.41,6.26,83.4,1.74,2019,4,6,2,9.010000000000002,1,20.98
2019-04-22,18.87,22.5,15.24,0.0,75.5,3.22,2019,4,0,2,7.26,0,20.822
2019-04-23,16.35,21.13,11.56,0.0,79.8,9.06,2019,4,1,2,9.569999999999999,0,20.715666666666667
2019-04-24,23.23,27.39,19.07,0.0,76.8,3.19,2019,4,2,2,8.32,0,20.712
2019-04-25,25.83,28.5,23.16,0.0,80.2,3.9,2019,4,3,2,5.34,0,20.459333333333333
2019-04-26,20.94,23.92,17.96,40.92,75.6,3.04,2019,4,4,2,5.960000000000001,1,20.392999999999997
2019-04-27,23.91,27.51,20.31,0.0,75.3,3.92,2019,4,5,2,7.200000000000003,0,20.316666666666666
2019-04-28,18.67,22.78,14.56,0.0,76.9,5.78,2019,4,6,2,8.22,0,20.123333333333335
2019-04-29,23.49,26.54,20.43,0.0,80.4,3.26,2019,4,0,2,6.109999999999999,0,20.018666666666668
2019-04-30,19.0,21.75,16.25,0.0,82.9,5.14,2019,4,1,2,5.5,0,19.999666666666666
2019-05-01,19.3,22.79,15.81,0.0,75.4,2.09,2019,5,2,2,6.979999999999999,0,19.769999999999996
2019-05-02,19.09,22.64,15.53,0.0,73.0,2.62,2019,5,3,2,7.110000000000001,0,19.59
2019-05-03,20.39,23.84,16.94,0.0,81.0,1.64,2019,5,4,2,6.899999999999999,0,19.488333333333337
2019-05-04,14.75,17.99,11.52,0.0,84.8,2.59,2019,5,5,2,6.469999999999999,0,19.325666666666667
2019-05-05,19.22,22.94,15.5,0.0,76.7,7.12,2019,5,6,2,7.440000000000001,0,19.324
2019-05-06,19.05,23.14,14.97,0.0,71.2,3.85,2019,5,0,2,8.17,0,19.278000000000002
2019-05-07,18.17,21.98,14.35,0.0,71.5,4.73,2019,5,1,2,7.630000000000001,0,19.171
2019-05-08,20.35,23.37,17.34,10.52,84.5,7.94,2019,5,2,2,6.030000000000001,1,19.163666666666664
2019-05-09,15.19,18.98,11.39,2.24,76.6,3.9,2019,5,3,2,7.59,1,19.32
2019-05-10,17.4,20.62,14.18,0.0,72.4,2.05,2019,5,4,2,6.440000000000001,0,19.137
2019-05-11,20.4,24.09,16.71,0.0,78.4,3.86,2019,5,5,2,7.379999999999999,0,18.846666666666668
2019-05-12,17.46,21.2,13.72,0.0,78.5,6.45,2019,5,6,2,7.479999999999999,0,18.824333333333335
2019-05-13,17.23,19.92,14.55,0.0,85.9,3.41,2019,5,0,2,5.370000000000001,0,18.654
2019-05-14,19.77,24.27,15.28,0.0,75.8,4.91,2019,5,1,2,8.99,0,18.616333333333333
2019-05-15,15.67,18.4,12.94,0.0,72.7,3.09,2019,5,2,2,5.459999999999999,0,18.53533333333333
2019-05-16,19.18,23.7,14.67,0.0,80.4,5.49,2019,5,3,2,9.03,0,18.55666666666667
2019-05-17,19.33,23.05,15.6,0.0,81.3,3.77,2019,5,4,2,7.450000000000001,0,18.493333333333336
2019-05-18,16.55,21.37,11.74,0.0,82.2,3.42,2019,5,5,2,9.63,0,18.450333333333333
2019-05-19,19.73,24.34,15.12,0.0,72.4,4.6,2019,5,6,2,9.22,0,18.342
2019-05-20,18.9,22.25,15.55,0.0,76.1,3.16,2019,5,0,2,6.699999999999999,0,18.437
2019-05-21,17.71,22.19,13.23,0.0,81.5,4.09,2019,5,1,2,8.96,0,18.410666666666664
2019-05-22,18.65,23.5,13.8,0.0,82.3,2.63,2019,5,2,2,9.7,0,18.415666666666667
2019-05-23,21.04,25.11,16.97,0.0,71.3,1.41,2019,5,3,2,8.14,0,18.466333333333335
2019-05-24,17.74,21.13,14.36,0.0,76.9,2.02,2019,5,4,2,6.77,0,18.369999999999997
2019-05-25,17.12,19.66,14.57,0.0,70.3,1.82,2019,5,5,2,5.09,0,18.448333333333334
2019-05-26,20.27,25.13,15.41,0.0,77.1,4.32,2019,5,6,2,9.719999999999999,0,18.57133333333333
2019-05-27,18.8,22.82,14.78,0.0,80.0,2.46,2019,5,0,2,8.040000000000001,0,18.501
2019-05-28,17.54,20.51,14.58,0.0,76.0,3.19,2019,5,1,2,5.9300000000000015,0,18.504
2019-05-29,21.06,25.3,16.82,0.0,75.7,2.58,2019,5,2,2,8.48,0,18.469333333333335
2019-05-30,19.64,23.48,15.8,0.0,74.6,3.83,2019,5,3,2,7.68,0,18.35033333333333
2019-05-31,17.4,22.12,12.68,0.0,76.4,4.1,2019,5,4,2,9.440000000000001,0,18.269333333333336
2019-06-01,17.8,21.68,13.92,0.0,69.0,1.77,2019,6,5,2,7.76,0,18.24233333333333
2019-06-02,17.14,19.84,14.44,0.0,83.2,2.63,2019,6,6,2,5.4,0,18.156999999999996
2019-06-03,17.6,21.34,13.86,0.0,80.8,4.23,2019,6,0,2,7.48,0,18.199333333333335
2019-06-04,18.43,21.59,15.26,0.0,83.4,4.83,2019,6,1,2,6.33,0,18.194666666666663
2019-06-05,19.2,23.86,14.53,0.0,78.0,5.56,2019,6,2,2,9.33,0,18.09733333333333
2019-06-06,19.69,22.58,16.79,0.0,78.6,3.19,2019,6,3,2,5.789999999999999,0,18.03933333333333
2019-06-07,17.46,21.82,13.11,0.0,77.7,4.36,2019,6,4,2,8.71,0,17.964
2019-06-08,17.54,21.62,13.46,0.0,76.2,4.97,2019,6,5,2,8.16,0,17.861666666666668
2019-06-09,21.09,23.86,18.33,0.0,78.2,3.59,2019,6,6,2,5.530000000000001,0,17.843333333333337
2019-06-10,18.29,21.05,15.54,0.0,76.7,2.73,2019,6,0,2,5.510000000000002,0,17.84766666666667
2019-06-11,17.55,21.82,13.28,0.0,68.8,5.87,2019,6,1,2,8.540000000000001,0,17.685333333333336
2019-06-12,16.19,20.59,11.8,6.9,75.5,1.27,2019,6,2,2,8.79,1,17.666333333333334
2019-06-13,16.2,19.38,13.02,0.0,83.5,1.61,2019,6,3,2,6.359999999999999,0,17.70866666666667
2019-06-14,13.24,17.73,8.76,0.0,80.5,6.99,2019,6,4,2,8.97,0,17.592
2019-06-15,18.37,21.92,14.82,0.0,75.6,2.39,2019,6,5,2,7.100000000000001,0,17.471666666666668
2019-06-16,16.77,19.8,13.73,6.78,79.8,2.89,2019,6,6,2,6.07,1,17.43066666666667
2019-06-17,17.82,22.24,13.39,0.0,77.8,4.96,2019,6,0,2,8.849999999999998,0,17.39966666666667
2019-06-18,19.59,22.17,17.01,0.0,81.0,4.58,2019,6,1,2,5.16,0,17.288333333333338
2019-06-19,15.98,18.98,12.98,0.0,83.2,3.76,2019,6,2,2,6.0,0,17.275
2019-06-20,15.97,20.47,11.48,0.0,74.9,3.45,2019,6,3,2,8.989999999999998,0,17.21833333333333
2019-06-21,16.39,20.39,12.39,0.0,66.3,5.35,2019,6,4,2,8.0,0,17.227
2019-06-22,17.97,20.56,15.37,0.0,74.9,2.8,2019,6,5,2,5.1899999999999995,0,17.146333333333335
2019-06-23,17.19,21.24,13.15,0.0,71.4,3.1,2019,6,6,2,8.089999999999998,0,17.157
2019-06-24,17.25,21.04,13.45,0.0,74.9,3.34,2019,6,0,2,7.59,0,17.028000000000002
2019-06-25,15.4,19.32,11.48,0.0,74.9,2.55,2019,6,1,2,7.84,0,16.857
2019-06-26,18.23,20.99,15.47,0.0,83.2,4.26,2019,6,2,2,5.519999999999998,0,16.730333333333334
2019-06-27,18.81,22.16,15.46,0.0,78.5,7.02,2019,6,3,2,6.699999999999999,0,16.684333333333335
2019-06-28,17.56,21.66,13.45,0.0,74.5,3.92,2019,6,4,2,8.21,0,16.829333333333334
2019-06-29,16.03,20.71,11.35,0.0,74.1,4.66,2019,6,5,2,9.360000000000001,0,16.845000000000002
2019-06-30,16.17,19.91,12.42,0.0,72.3,5.26,2019,6,6,2,7.49,0,16.958666666666666
2019-07-01,16.87,19.87,13.87,0.0,73.5,3.03,2019,7,0,3,6.000000000000002,0,16.732666666666667
2019-07-02,13.8,18.11,9.48,0.0,65.5,2.13,2019,7,1,3,8.629999999999999,0,16.696333333333335
2019-07-03,17.2,20.8,13.61,0.0,77.2,6.22,2019,7,2,3,7.190000000000001,0,16.692
2019-07-04,16.73,20.28,13.18,0.0,76.2,3.86,2019,7,3,3,7.100000000000001,0,16.665333333333333
2019-07-05,19.46,23.79,15.12,0.0,78.5,4.58,2019,7,4,3,8.67,0,16.624
2019-07-06,17.27,20.36,14.18,0.0,74.3,2.98,2019,7,5,3,6.18,0,16.748333333333335
2019-07-07,17.78,21.39,14.17,0.0,71.5,6.45,2019,7,6,3,7.220000000000001,0,16.688333333333336
2019-07-08,13.67,17.15,10.19,0.0,76.2,1.78,2019,7,0,3,6.959999999999999,0,16.639
2019-07-09,15.96,20.88,11.03,0.0,74.4,3.65,2019,7,1,3,9.85,0,16.575333333333333
2019-07-10,14.49,19.06,9.92,0.0,75.6,1.66,2019,7,2,3,9.139999999999999,0,16.659
2019-07-11,16.17,18.76,13.58,0.0,71.6,2.93,2019,7,3,3,5.1800000000000015,0,16.686333333333334
2019-07-12,20.54,25.05,16.02,0.0,71.8,4.31,2019,7,4,3,9.030000000000001,0,16.785
2019-07-13,16.67,20.5,12.84,0.0,72.9,5.2,2019,7,5,3,7.66,0,16.672666666666668
2019-07-14,16.65,20.42,12.89,5.19,74.8,5.97,2019,7,6,3,7.530000000000001,1,16.581
2019-07-15,11.59,15.75,7.42,0.0,69.2,4.97,2019,7,0,3,8.33,0,16.547666666666665
2019-07-16,15.68,20.35,11.01,0.0,80.7,5.59,2019,7,1,3,9.340000000000002,0,16.488666666666667
2019-07-17,17.69,21.9,13.48,0.0,76.9,4.14,2019,7,2,3,8.419999999999998,0,16.494
2019-07-18,18.79,21.83,15.75,0.0,77.7,8.18,2019,7,3,3,6.079999999999998,0,16.633
2019-07-19,14.74,18.88,10.59,0.0,77.0,3.04,2019,7,4,3,8.29,0,16.581666666666667
2019-07-20,19.7,24.4,15.01,0.0,74.8,6.58,2019,7,5,3,9.389999999999999,0,16.695666666666668
2019-07-21,14.59,19.0,10.18,0.0,78.2,3.03,2019,7,6,3,8.82,0,16.681666666666665
2019-07-22,16.49,19.8,13.18,0.0,73.1,8.03,2019,7,0,3,6.620000000000001,0,16.694
2019-07-23,15.28,18.9,11.65,0.0,67.8,2.51,2019,7,1,3,7.249999999999998,0,16.64966666666667
2019-07-24,19.76,23.8,15.71,0.0,77.0,5.92,2019,7,2,3,8.09,0,16.888333333333332
2019-07-25,16.22,19.91,12.52,1.61,66.9,6.05,2019,7,3,3,7.390000000000001,1,16.955
2019-07-26,21.19,25.6,16.78,0.0,72.0,4.34,2019,7,4,3,8.82,0,16.97533333333333
2019-07-27,15.44,19.16,11.73,0.0,71.9,2.03,2019,7,5,3,7.43,0,17.133333333333333
2019-07-28,14.81,18.66,10.97,0.0,79.1,5.32,2019,7,6,3,7.6899999999999995,0,17.05
2019-07-29,15.03,17.98,12.08,0.0,72.1,3.71,2019,7,0,3,5.9,0,17.047
2019-07-30,14.4,17.17,11.63,0.0,78.6,3.36,2019,7,1,3,5.540000000000001,0,17.161333333333335
2019-07-31,17.03,21.9,12.15,0.0,71.3,3.6,2019,7,2,3,9.749999999999998,0,17.353
2019-08-01,17.97,21.0,14.94,0.0,77.6,2.96,2019,8,3,3,6.0600000000000005,0,17.316666666666666
2019-08-02,15.66,20.11,11.21,0.0,70.2,2.97,2019,8,4,3,8.899999999999999,0,17.473333333333333
2019-08-03,20.15,22.88,17.41,0.0,81.9,1.79,2019,8,5,3,5.469999999999999,0,17.448666666666668
2019-08-04,19.04,22.08,16.0,0.0,74.7,3.59,2019,8,6,3,6.079999999999998,0,17.573333333333334
2019-08-05,17.64,21.5,13.77,0.0,78.8,1.45,2019,8,0,3,7.73,0,17.514999999999997
2019-08-06,16.45,20.02,12.88,0.0,79.6,4.77,2019,8,1,3,7.139999999999999,0,17.674333333333333
2019-08-07,20.83,23.53,18.13,0.0,68.6,2.36,2019,8,2,3,5.400000000000002,0,17.684666666666665
2019-08-08,17.96,20.63,15.29,0.0,69.9,3.98,2019,8,3,3,5.34,0,17.80366666666667
2019-08-09,15.1,19.23,10.97,0.0,68.3,1.79,2019,8,4,3,8.26,0,17.669
2019-08-10,20.91,24.57,17.25,0.0,74.7,4.74,2019,8,5,3,7.32,0,17.81433333333333
2019-08-11,18.04,22.26,13.81,0.0,69.3,3.66,2019,8,6,3,8.450000000000001,0,17.668000000000003
2019-08-12,16.58,20.74,12.41,0.0,77.9,2.94,2019,8,0,3,8.329999999999998,0,17.750333333333334
2019-08-13,20.08,23.89,16.28,0.0,73.6,3.89,2019,8,1,3,7.609999999999999,0,17.771333333333338
2019-08-14,17.34,21.91,12.78,0.0,68.7,2.14,2019,8,2,3,9.13,0,17.912666666666667
2019-08-15,14.59,18.09,11.1,0.0,75.0,4.33,2019,8,3,3,6.99,0,17.996666666666666
2019-08-16,22.39,26.13,18.64,0.0,71.5,4.51,2019,8,4,3,7.489999999999998,0,18.060333333333336
2019-08-17,18.05,21.5,14.6,0.0,72.6,4.05,2019,8,5,3,6.9,0,18.047666666666665
2019-08-18,18.48,21.74,15.22,0.0,68.2,2.88,2019,8,6,3,6.519999999999998,0,18.173000000000002
2019-08-19,17.95,22.05,13.85,0.0,73.0,3.45,2019,8,0,3,8.200000000000001,0,18.202
2019-08-20,19.37,23.78,14.96,0.0,62.9,3.63,2019,8,1,3,8.82,0,18.191
2019-08-21,16.8,19.37,14.24,0.0,72.3,3.61,2019,8,2,3,5.130000000000001,0,18.290666666666667
2019-08-22,18.85,22.43,15.27,0.0,61.4,4.11,2019,8,3,3,7.16,0,18.413333333333338
2019-08-23,15.72,19.77,11.67,0.0,75.4,3.11,2019,8,4,3,8.1,0,18.451
2019-08-24,20.58,25.57,15.6,0.0,70.7,2.79,2019,8,5,3,9.97,0,18.555333333333333
2019-08-25,16.8,21.03,12.57,0.0,71.8,3.82,2019,8,6,3,8.46,0,18.697
2019-08-26,17.91,21.94,13.87,0.0,75.0,11.07,2019,8,0,3,8.070000000000002,0,18.621333333333332
2019-08-27,15.44,18.86,12.02,0.0,72.1,4.7,2019,8,1,3,6.84,0,18.710333333333335
2019-08-28,19.27,21.79,16.74,0.0,71.4,3.47,2019,8,2,3,5.050000000000001,0,18.755
2019-08-29,16.92,20.76,13.08,0.0,74.6,3.47,2019,8,3,3,7.6800000000000015,0,18.729
2019-08-30,18.94,22.81,15.07,0.0,68.2,3.42,2019,8,4,3,7.739999999999998,0,18.801
2019-08-31,17.59,21.03,14.15,0.0,79.8,7.57,2019,8,5,3,6.880000000000001,0,19.018666666666665
2019-09-01,19.42,24.31,14.53,0.0,80.6,1.9,2019,9,6,3,9.78,0,18.956333333333337
2019-09-02,21.02,23.62,18.42,0.0,74.0,10.44,2019,9,0,3,5.199999999999999,0,19.016000000000002
2019-09-03,18.71,23.45,13.97,0.0,73.4,3.84,2019,9,1,3,9.479999999999999,0,19.105333333333338
2019-09-04,20.63,24.41,16.85,0.0,73.3,2.86,2019,9,2,3,7.559999999999999,0,19.093666666666664
2019-09-05,20.13,22.66,17.6,0.0,72.8,6.95,2019,9,3,3,5.059999999999999,0,19.208333333333332
2019-09-06,21.96,26.11,17.81,0.0,73.4,6.57,2019,9,4,3,8.3,0,19.271666666666665
2019-09-07,21.09,23.65,18.54,14.1,81.2,2.93,2019,9,5,3,5.109999999999999,1,19.346666666666668
